s_thresh,v_thresh,count
0,77,19
0,78,19
0,79,20
3,79,20
4,79,20
5,79,20
6,79,20
0,80,20
4,80,20
5,80,20
6,80,20
0,81,21
4,81,21
5,81,21
6,81,21
0,82,20
5,82,20
6,82,20
0,83,19
5,83,19
6,83,19
0,84,19
5,84,19
6,84,19
0,85,19
5,85,19
6,85,19
0,86,19
5,86,19
6,86,19
0,87,19
4,87,19
5,87,19
6,87,19
0,88,19
4,88,19
5,88,19
6,88,19
0,89,19
4,89,19
5,89,19
6,89,19
0,90,19
4,90,19
5,90,19
6,90,19
0,91,19
3,91,19
4,91,19
5,91,19
6,91,19
0,92,19
3,92,19
4,92,19
5,92,19
6,92,19
0,93,19
3,93,19
4,93,19
5,93,19
6,93,19
7,93,19
8,93,19
9,93,19
10,93,19
11,93,19
12,93,19
13,93,19
14,93,19
0,94,19
4,94,19
5,94,19
6,94,19
7,94,19
8,94,19
9,94,19
10,94,19
11,94,19
12,94,19
13,94,19
14,94,19
15,94,19
16,94,19
17,94,19
18,94,20
19,94,20
20,94,20
21,94,20
22,94,20
23,94,20
24,94,20
25,94,20
0,95,20
4,95,20
5,95,20
6,95,20
7,95,20
8,95,20
9,95,20
10,95,20
11,95,20
12,95,20
13,95,20
14,95,20
15,95,20
16,95,20
17,95,20
18,95,21
19,95,21
20,95,21
21,95,21
22,95,21
23,95,21
24,95,21
25,95,21
26,95,20
27,95,20
28,95,20
29,95,20
30,95,20
31,95,20
32,95,21
0,96,21
4,96,21
5,96,21
6,96,21
7,96,21
8,96,21
9,96,21
10,96,21
11,96,21
12,96,21
13,96,21
14,96,20
15,96,20
16,96,20
17,96,20
18,96,21
19,96,21
20,96,21
21,96,21
22,96,21
23,96,21
24,96,21
25,96,21
26,96,20
27,96,20
28,96,20
29,96,20
30,96,20
31,96,20
32,96,21
0,97,21
3,97,21
4,97,21
5,97,21
6,97,21
7,97,21
8,97,21
9,97,21
10,97,21
11,97,21
12,97,21
13,97,21
14,97,20
15,97,20
16,97,22
17,97,22
18,97,22
19,97,22
20,97,22
21,97,22
22,97,22
23,97,22
24,97,22
25,97,22
26,97,21
27,97,21
28,97,21
29,97,21
30,97,20
31,97,20
32,97,21
0,98,21
3,98,21
4,98,21
5,98,21
6,98,21
7,98,21
8,98,21
9,98,21
10,98,21
11,98,21
12,98,21
13,98,21
14,98,20
15,98,20
16,98,22
17,98,22
18,98,22
19,98,22
20,98,22
21,98,22
22,98,22
23,98,22
24,98,22
25,98,22
26,98,21
27,98,21
28,98,21
29,98,21
30,98,20
31,98,20
32,98,21
0,99,21
3,99,21
4,99,21
5,99,21
6,99,21
7,99,21
8,99,21
9,99,21
10,99,21
11,99,21
12,99,21
13,99,21
14,99,20
15,99,20
16,99,22
17,99,22
18,99,22
19,99,22
20,99,22
21,99,22
22,99,22
23,99,22
24,99,22
25,99,22
26,99,21
27,99,21
28,99,21
29,99,21
30,99,20
31,99,20
32,99,21
0,100,21
3,100,21
4,100,21
5,100,21
6,100,21
7,100,21
8,100,21
9,100,21
10,100,21
11,100,22
12,100,22
13,100,22
14,100,21
15,100,21
16,100,23
17,100,23
18,100,22
19,100,22
20,100,22
21,100,22
22,100,22
23,100,22
24,100,22
25,100,22
26,100,21
27,100,21
28,100,21
29,100,21
30,100,20
31,100,20
32,100,21
0,101,21
3,101,21
4,101,21
5,101,21
6,101,21
7,101,21
8,101,21
9,101,21
10,101,21
11,101,22
12,101,22
13,101,22
14,101,21
15,101,21
16,101,23
17,101,23
18,101,23
19,101,23
20,101,23
21,101,23
22,101,23
23,101,23
24,101,23
25,101,23
26,101,22
27,101,22
28,101,22
29,101,22
30,101,21
31,101,21
32,101,22
33,101,21
34,101,21
35,101,21
36,101,21
37,101,22
0,102,21
3,102,21
4,102,21
5,102,21
6,102,21
7,102,21
8,102,21
9,102,21
10,102,21
11,102,22
12,102,22
13,102,22
14,102,21
15,102,21
16,102,23
17,102,23
18,102,22
19,102,22
20,102,23
21,102,23
22,102,23
23,102,23
24,102,23
25,102,23
26,102,22
27,102,22
28,102,22
29,102,22
30,102,22
31,102,22
32,102,22
33,102,20
34,102,20
35,102,20
36,102,20
37,102,21
0,103,21
3,103,21
4,103,21
5,103,21
6,103,21
7,103,21
8,103,21
9,103,21
10,103,21
11,103,22
12,103,22
13,103,22
14,103,22
15,103,22
16,103,23
17,103,23
18,103,23
19,103,23
20,103,24
21,103,24
22,103,24
23,103,24
24,103,24
25,103,24
26,103,23
27,103,23
28,103,23
29,103,23
30,103,22
31,103,22
32,103,22
33,103,20
34,103,20
35,103,20
36,103,20
37,103,21
0,104,21
3,104,21
4,104,21
5,104,21
6,104,21
7,104,21
8,104,21
9,104,21
10,104,21
11,104,22
12,104,22
13,104,22
14,104,22
15,104,22
16,104,21
17,104,21
18,104,21
19,104,21
20,104,21
21,104,21
22,104,22
23,104,23
24,104,24
25,104,24
26,104,23
27,104,23
28,104,23
29,104,23
30,104,22
31,104,22
32,104,22
33,104,21
34,104,21
35,104,21
36,104,21
37,104,22
0,105,24
3,105,24
4,105,24
5,105,24
6,105,24
7,105,24
8,105,24
9,105,24
10,105,24
11,105,25
12,105,25
13,105,25
14,105,25
15,105,25
16,105,24
17,105,24
18,105,23
19,105,23
20,105,23
21,105,23
22,105,24
23,105,24
24,105,25
25,105,24
26,105,24
27,105,24
28,105,24
29,105,24
30,105,23
31,105,23
32,105,23
33,105,21
34,105,21
35,105,21
36,105,21
37,105,22
0,106,24
3,106,24
4,106,24
5,106,24
6,106,24
7,106,24
8,106,24
9,106,24
10,106,24
11,106,25
12,106,25
13,106,25
14,106,25
15,106,25
16,106,24
17,106,24
18,106,24
19,106,24
20,106,24
21,106,24
22,106,24
23,106,24
24,106,25
25,106,24
26,106,24
27,106,24
28,106,24
29,106,24
30,106,25
31,106,24
32,106,25
33,106,23
34,106,21
35,106,21
36,106,21
37,106,22
0,107,25
3,107,25
4,107,25
5,107,25
6,107,25
7,107,25
8,107,25
9,107,25
10,107,25
11,107,26
12,107,26
13,107,26
14,107,26
15,107,26
16,107,25
17,107,25
18,107,25
19,107,25
20,107,25
21,107,25
22,107,24
23,107,24
24,107,25
25,107,24
26,107,24
27,107,24
28,107,24
29,107,24
30,107,24
31,107,24
32,107,25
33,107,23
34,107,21
35,107,21
36,107,21
37,107,22
0,108,25
29,108,25
30,108,25
31,108,24
32,108,25
33,108,24
34,108,22
35,108,21
36,108,21
37,108,22
0,109,24
29,109,28
30,109,27
31,109,27
32,109,27
33,109,26
34,109,23
35,109,23
36,109,22
37,109,22
0,110,22
33,110,25
34,110,24
35,110,25
36,110,23
37,110,23
34,111,26
35,111,28
36,111,24
37,111,23
35,112,29
36,112,24
37,112,23
35,113,30
36,113,27
37,113,26
37,114,27
37,115,27
37,116,28
38,116,27
39,116,25
40,116,26
37,117,28
38,117,27
39,117,25
40,117,26
37,118,28
38,118,27
39,118,25
40,118,26
37,119,28
38,119,27
39,119,25
40,119,26
37,120,29
38,120,27
39,120,25
40,120,26
37,121,29
38,121,27
39,121,25
40,121,26
38,122,27
39,122,26
40,122,27
38,123,27
39,123,26
40,123,27
38,124,28
39,124,27
38,125,29
39,125,28
40,125,27
38,126,30
39,126,28
40,126,27
38,127,32
39,127,30
40,127,27
38,128,34
39,128,31
40,128,28
38,129,35
39,129,32
40,129,29
38,130,41
39,130,36
40,130,31
38,131,44
39,131,39
40,131,34
38,132,47
39,132,40
40,132,35
38,133,47
39,133,41
40,133,36
