thresh_value;img0.jpg_s_count;img0.jpg_v_count;img1.jpg_s_count;img1.jpg_v_count;img2.jpg_s_count;img2.jpg_v_count;img3.jpg_s_count;img3.jpg_v_count;img5.jpg_s_count;img5.jpg_v_count;img6.jpg_s_count;img6.jpg_v_count;img7.jpg_s_count;img7.jpg_v_count;img8.jpg_s_count;img8.jpg_v_count;img9.jpg_s_count;img9.jpg_v_count;img10.jpg_s_count;img10.jpg_v_count;img11.jpg_s_count;img11.jpg_v_count;img12.jpg_s_count;img12.jpg_v_count;img13.jpg_s_count;img13.jpg_v_count;img4.jpg_s_count;img4.jpg_v_count
0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0
1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0
2;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0
3;1;0;1;0;1;0;1;0;2;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0
4;1;0;1;0;1;0;1;0;2;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0
5;1;0;1;0;1;0;1;0;2;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0
6;1;0;1;0;1;0;1;0;2;0;1;0;1;0;1;0;1;0;1;0;1;0;2;0;1;2;1;0
7;1;0;1;0;1;0;1;0;2;0;1;0;1;0;1;0;1;0;1;0;1;0;3;0;1;5;1;0
8;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;2;0;1;0;1;0;4;0;1;5;1;0
9;1;0;1;0;1;0;1;0;1;0;3;4;1;0;1;0;1;0;1;0;1;0;1;0;1;12;1;0
10;2;0;1;0;1;0;1;0;6;1;1;7;1;0;1;0;1;0;1;0;1;0;4;0;1;20;1;0
11;2;0;1;1;1;0;1;1;5;2;1;10;1;0;1;0;2;0;1;0;1;0;7;0;1;35;1;0
12;6;0;1;3;1;0;1;1;6;4;1;16;1;0;1;0;5;0;2;0;1;0;13;0;1;34;1;1
13;5;0;1;3;1;0;1;4;4;6;1;18;1;0;1;1;10;1;2;0;1;1;18;1;1;34;1;2
14;14;0;1;3;1;0;1;5;2;7;2;25;1;1;1;1;11;1;2;0;1;1;39;1;1;33;1;2
15;27;1;1;4;1;0;1;6;2;8;6;25;1;1;1;2;13;3;2;1;1;2;54;2;1;33;1;2
16;31;1;1;5;1;0;1;6;6;13;2;27;1;1;1;2;21;6;1;2;1;2;65;4;1;33;1;2
