s_thresh,v_thresh,count
0,0,0
0,15,1
0,18,2
0,21,4
49,21,3
51,21,1
0,22,6
12,22,5
0,23,6
12,23,5
46,23,4
49,23,3
51,23,2
57,23,2
64,23,2
0,24,6
12,24,6
32,24,5
46,24,4
49,24,3
51,24,2
57,24,2
64,24,2
68,24,1
0,25,9
10,25,8
12,25,8
32,25,7
46,25,6
49,25,5
51,25,4
54,25,3
57,25,3
61,25,3
64,25,3
68,25,2
81,25,2
82,25,1
0,26,11
10,26,11
12,26,11
32,26,10
46,26,9
49,26,7
51,26,5
54,26,4
57,26,4
61,26,4
64,26,4
68,26,3
81,26,3
82,26,2
0,27,11
10,27,11
12,27,11
32,27,11
38,27,11
46,27,10
49,27,8
51,27,6
54,27,5
57,27,5
61,27,5
64,27,5
0,28,12
10,28,12
12,28,12
32,28,12
38,28,12
46,28,12
49,28,10
51,28,8
54,28,7
57,28,7
61,28,7
64,28,7
66,28,6
68,28,5
70,28,4
0,29,15
10,29,15
12,29,15
18,29,15
19,29,14
21,29,14
28,29,14
32,29,14
36,29,14
38,29,14
44,29,14
46,29,14
49,29,12
51,29,10
54,29,9
57,29,9
61,29,9
64,29,9
66,29,8
67,29,8
68,29,7
0,30,16
10,30,16
12,30,16
17,30,15
18,30,15
19,30,14
21,30,14
23,30,14
28,30,14
32,30,14
34,30,14
36,30,14
38,30,14
44,30,14
46,30,14
49,30,12
51,30,10
54,30,9
57,30,9
59,30,9
61,30,9
64,30,9
66,30,8
67,30,8
68,30,7
0,31,17
10,31,17
12,31,17
16,31,17
17,31,16
18,31,16
19,31,16
21,31,16
23,31,16
24,31,15
26,31,15
28,31,15
32,31,15
33,31,15
34,31,15
36,31,14
38,31,14
44,31,14
45,31,14
46,31,14
49,31,12
51,31,10
54,31,9
0,32,15
9,32,15
10,32,15
12,32,15
16,32,15
17,32,14
18,32,14
19,32,15
21,32,15
23,32,15
24,32,15
26,32,15
28,32,15
32,32,15
33,32,15
34,32,15
36,32,14
38,32,14
44,32,14
45,32,14
46,32,14
48,32,14
49,32,12
51,32,10
54,32,9
55,32,9
56,32,9
57,32,9
59,32,9
61,32,10
64,32,10
66,32,9
67,32,9
0,33,13
8,33,13
9,33,13
10,33,13
12,33,13
13,33,13
16,33,13
17,33,12
19,33,13
20,33,13
21,33,14
23,33,14
24,33,14
26,33,14
27,33,14
28,33,14
31,33,13
32,33,13
33,33,13
34,33,14
36,33,14
38,33,14
44,33,14
45,33,14
46,33,14
48,33,14
49,33,12
51,33,11
54,33,10
55,33,10
56,33,10
57,33,10
59,33,10
61,33,11
64,33,11
66,33,10
67,33,10
68,33,8
70,33,5
77,33,4
81,33,4
82,33,3
0,34,14
8,34,14
9,34,14
10,34,14
12,34,14
13,34,14
16,34,14
17,34,13
19,34,14
20,34,14
21,34,15
23,34,15
24,34,15
26,34,15
27,34,15
28,34,15
31,34,14
32,34,14
33,34,14
34,34,15
36,34,15
38,34,15
41,34,15
44,34,15
45,34,15
46,34,15
48,34,15
49,34,13
51,34,12
53,34,12
54,34,11
55,34,11
56,34,11
57,34,11
59,34,11
61,34,12
64,34,12
66,34,11
67,34,11
68,34,9
70,34,6
77,34,5
81,34,5
82,34,4
85,34,4
90,34,3
97,34,2
107,34,1
0,35,14
7,35,14
8,35,14
9,35,14
10,35,14
12,35,14
13,35,14
15,35,13
16,35,13
17,35,12
19,35,13
20,35,13
21,35,14
